2025-08-22 11:27:01,644 | INFO |   写出: xyz_output\feet\001_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:01,666 | INFO |   写出: xyz_output\feet\001_foot_R.xyz | 点数=4068 | 含法向量
2025-08-22 11:27:01,685 | INFO |   写出: xyz_output\feet\002_foot_L.xyz | 点数=4094 | 含法向量
2025-08-22 11:27:01,705 | INFO |   写出: xyz_output\feet\002_foot_R.xyz | 点数=4095 | 含法向量
2025-08-22 11:27:01,723 | INFO |   写出: xyz_output\feet\003_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:01,740 | INFO |   写出: xyz_output\feet\003_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:01,758 | INFO |   写出: xyz_output\feet\004_foot_L.xyz | 点数=4072 | 含法向量
2025-08-22 11:27:01,777 | INFO |   写出: xyz_output\feet\004_foot_R.xyz | 点数=4079 | 含法向量
2025-08-22 11:27:01,795 | INFO |   写出: xyz_output\feet\005_foot_L.xyz | 点数=4095 | 含法向量
2025-08-22 11:27:01,812 | INFO |   写出: xyz_output\feet\005_foot_R.xyz | 点数=4081 | 含法向量
2025-08-22 11:27:01,831 | INFO |   写出: xyz_output\feet\006_foot_L.xyz | 点数=4080 | 含法向量
2025-08-22 11:27:01,848 | INFO |   写出: xyz_output\feet\006_foot_R.xyz | 点数=4057 | 含法向量
2025-08-22 11:27:01,869 | INFO |   写出: xyz_output\feet\007_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:01,886 | INFO |   写出: xyz_output\feet\007_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:01,896 | INFO |   写出: xyz_output\feet\008_foot_L.xyz | 点数=2147 | 含法向量
2025-08-22 11:27:01,914 | INFO |   写出: xyz_output\feet\008_foot_R.xyz | 点数=3866 | 含法向量
2025-08-22 11:27:01,931 | INFO |   写出: xyz_output\feet\009_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:01,941 | INFO |   写出: xyz_output\feet\009_foot_R.xyz | 点数=1805 | 含法向量
2025-08-22 11:27:01,947 | INFO |   写出: xyz_output\feet\010_foot_L.xyz | 点数=1050 | 含法向量
2025-08-22 11:27:01,957 | INFO |   写出: xyz_output\feet\010_foot_R.xyz | 点数=1784 | 含法向量
2025-08-22 11:27:01,968 | INFO |   写出: xyz_output\feet\011_foot_L.xyz | 点数=2745 | 含法向量
2025-08-22 11:27:01,982 | INFO |   写出: xyz_output\feet\011_foot_R.xyz | 点数=2745 | 含法向量
2025-08-22 11:27:01,990 | INFO |   写出: xyz_output\feet\012_foot_L.xyz | 点数=1931 | 含法向量
