epoch,train_loss,val_loss
1,23.82487402,14.15855217
2,23.21553497,12.81495312
3,19.80818577,9.68496077
4,15.32057848,8.47681366
5,13.29020529,8.13448163
6,12.54414291,7.66169344
7,10.98621225,6.65006481
8,8.98837876,5.63596385
9,10.22636180,6.70369591
10,8.12542892,7.46272932
11,8.21043792,6.70435401
12,7.01467710,5.38111966
13,8.18827815,7.58124624
14,7.37853074,5.31345708
15,6.81913180,6.43516936
16,6.92869921,5.21754817
17,6.90142784,10.56332724
18,7.16446280,5.82540785
19,6.61055908,6.77655411
20,6.21707745,6.62613331
21,6.31461473,5.34147610
22,6.05569644,6.44912284
23,6.09718804,5.39989676
24,6.06479621,5.61504541
25,6.03268142,5.70271587
26,6.34476905,5.22814444
27,6.02997150,7.05268247
28,5.66937470,6.59840877
29,5.70034075,6.03396245
30,6.36920395,5.82610641
31,5.59652824,8.01446874
